	featureCounts on dataset 70 and 73: Counts	featureCounts on dataset 71 and 73: Counts	featureCounts on dataset 72 and 73: Counts	featureCounts on dataset 67 and 73: Counts	featureCounts on dataset 68 and 73: Counts	featureCounts on dataset 69 and 73: Counts
metU	33.8327574047482	30.8395777046656	36.9264697072935	23.3811499104732	37.8680092558531	34.0041639730608
thrU	23.067789139601	24.8429931509806	24.9038981746863	66.8032854584947	48.1956481438131	54.9298033410983
B11	222.219702044823	308.395777046656	303.999308753067	424.200862661442	273.108672814941	345.273049572618
MTS2823	85475.3858778777	82417.0581058463	82779.6987775478	747782.616765298	695533.201156575	681417.288970929
proY	94.5779354723643	70.2457047717383	77.2879598524748	59.0095688216704	78.0310493756974	47.0826885780842
C8	277.582395979866	309.252431982896	302.281798534123	219.337453922058	159.504645047381	226.258475666905
serV	135.331029618993	104.511902221367	114.214429559768	198.183080193534	138.849367271462	156.942295260281
serX	26.1434943582145	41.9760918757948	36.9264697072935	40.0819712750968	47.0481327118175	41.8512787360749
argU	39.2152415373218	66.8190850267754	56.6778372251482	42.3087474570467	39.0155246878487	32.6963115125585
serT	84.5818935118705	128.498240436107	117.649449997656	64.5765092765449	48.1956481438131	94.1653771561685
serU	79.1994093792969	39.4061270670727	48.9490412399007	57.8961807306954	58.523287031773	54.9298033410983
MTS2975	87.6575987304839	99.3719726039224	103.050613136633	116.905749552366	103.276388879599	130.785246050234
