	featureCounts on dataset 70 and 73: Counts	featureCounts on dataset 71 and 73: Counts	featureCounts on dataset 72 and 73: Counts	featureCounts on dataset 67 and 73: Counts	featureCounts on dataset 68 and 73: Counts	featureCounts on dataset 69 and 73: Counts
AS1890	4.84252123756186	5.11189529701108	5.00014683667955	5.20763728295269	5.2297923029101	5.13961388316495
ASpks	3.61584905853047	3.24394335883827	3.53838681281646	4.02928874409796	4.01901284768035	3.69533215214791
leuU	3.9623947794659	3.91078728325496	4.01565495897564	4.08942033207492	3.88202216895982	3.97209404570036
rnpB	18.2012786804352	18.4118595494503	18.4118964307698	18.2416199224096	18.2509949095014	18.1812832880148
valV	6.80787997778327	6.66121832881773	6.66321747641325	6.28388439446677	6.61487102821373	6.22839407743861
mcr16	10.1615682965818	10.0822232249156	10.0789853746033	9.49354184769265	9.77397924655225	9.38617389054155
metV	7.28310943710828	7.07087578608126	7.16199152712903	6.72086485253531	7.05408234166507	6.66897692082774
asnT	4.41591117108742	4.48066722457671	4.41410037180924	4.40559264194319	4.23193698943287	4.49544884817936
mcr7	13.7006829564817	13.9551452808696	13.9462706602911	14.1001922729645	14.1145355639557	13.9648081878758
proU	6.75936935605019	6.5110479807343	6.59373991302454	6.6572530909774	6.63712035123443	6.63368925343011
glyV	6.62866624999853	6.51332827092739	6.30964524977051	6.22984537382922	5.9678744063169	6.25179897400605
argW	3.8807068411585	3.85839937942767	3.88443512053337	3.79731798554935	3.70525259337873	3.79018025600685
hisT	5.22364394893418	5.25412499855984	5.1050388703473	5.43585530521115	5.53370453493056	5.54087190012842
lysU	6.38271860712335	6.25640462759577	6.21373754454839	5.75127043885563	5.85766524377131	5.81460221947108
valT	5.02409947858636	5.25496310805853	5.3481767492627	4.94420393169058	4.82750474691752	5.02496699532594
glyT	5.26554631000945	5.63598031075899	5.66636210733254	5.66579359014199	6.25819977812253	6.09728064781688
cysU	4.24082955675504	4.66876580785675	4.72816214724809	4.41641197211304	4.08170634889998	4.71278661389706
valU	4.68595494632414	4.49794661661897	4.45855458507148	4.01109908053923	4.02339910423499	4.11665962164308
gluU	5.48940867859212	5.67346050451872	5.57762407899728	5.6068300151434	5.75030122359213	5.48900384593246
glnU	6.47323607937569	6.22322506168071	6.28970807443581	6.61380589600907	6.22996424943909	6.391518497563
alaU	5.28085010009598	5.42911938913782	5.44686994496414	5.49482956075435	5.5742099042712	5.62041200070106
ssr	19.1310106821544	19.2483051773369	19.2489881437593	19.2584291371987	19.2505195583872	19.2235177310562
metU	5.05424295974763	4.98768617484372	5.11854728511211	4.8147679437606	5.1331727129084	5.05561001754919
thrU	4.89062622890015	4.94359405832665	4.9452907089719	5.70521460750394	5.4274463911603	5.52984318486713
B11	7.95582316114575	8.2671849645119	8.25326965938539	8.58130071383179	8.15109704918055	8.37653648384647
MTS2823	17.7797487332212	17.7710780954651	17.7721113265925	18.7676168452179	18.7190476307853	18.7054816783975
proY	6.38584135482621	6.13282484113557	6.21162223023892	5.99746753159662	6.21770222843256	5.83972630397303
C8	8.05064052628346	8.15199570101206	8.13041483742183	7.83542601600335	7.56112712131323	7.86355635442275
serV	7.09713128042699	6.90164485536374	6.96729985834761	7.40689956571321	7.11735467826815	7.2136437665496
serX	4.9882073298792	5.33367325950541	5.23522719024682	5.29665059629416	5.41938771840752	5.32766277578905
argU	5.38813787300667	5.83106205892693	5.68747887369267	5.4499433555972	5.39020212125052	5.27165885393512
serT	6.41665070745175	6.76489889292197	6.68869806266875	6.21581066325551	6.0195818253597	6.5009948153165
serU	6.1033673206733	5.52945153819814	5.69455369267326	5.82959050705789	5.83818250511775	5.78758768871452
MTS2975	6.58250006973764	6.67816864928081	6.70639294066025	6.80545483441685	6.70842480209432	6.89416858053171
